sample_name,organism
SJCBF016,human
SJCBF017,human
SJCBF027,human
SJCBF028,human
SJCBF029,human
SJCBF030,human
SJCBF031,human
SJCBF032,human
SJCBF033,human
SJCBF034,human
SJCBF035,human
SJCBF036,human
SJCBF037,human
SJCBF038,human
SJCBF039,human
SJCBF040,human
SJCBF041,human
SJCBF042,human
SJCBF043,human
SJCBF044,human
SJCBF090,human
SJCBF091,human
SJCBF092,human
SJCBF093,human
SJCBF094,human
SJCBF096,human
SJCBF099,human
SJCBF100,human
SJCBF101,human
SJCBF102,human
SJCBF103,human
SJCBF104,human
SJCBF105,human
SJCBF106,human
SJCBF107,human
SJCBF108,human
SJCBF109,human
SJCBF110,human
SJCBF111,human
SJCBF112,human
SJCBF113,human
SJCBF114,human
SJCBF116,human
SJCBF117,human
SJCBF118,human
SJCBF120,human
SJCBF121,human
SJCBF123,human
SJCBF124,human
SJCBF125,human
SJCBF137,human
SJCBF138,human
SJCBF139,human
SJCBF140,human
SJCBF141,human
SJCBF142,human
SJCBF143,human
SJCBF144,human
SJCBF145,human
SJCBF146,human
SJCBF147,human
SJCBF148,human
SJCBF149,human
SJCBF150,human
SJCBF151,human
SJCBF152,human
